Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
Bruno Fernandes,pt POR,MF,29,36,35,"3,018",33.5,8.0,10.0,18.0,5.0,3.0,3.0,5.0,2.0,Manchester Utd
André Onana,cm CMR,GK,28,34,34,"3,060",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Noussair Mazraoui,ma MAR,DF,26,37,34,"2,838",31.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,Manchester Utd
Diogo Dalot,pt POR,DF,25,33,31,"2,814",31.3,0.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,Manchester Utd
Matthijs de Ligt,nl NED,DF,24,29,25,"2,123",23.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,Manchester Utd
Alejandro Garnacho,ar ARG,"MF,FW",20,36,23,"2,199",24.4,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,Manchester Utd
Rasmus Højlund,dk DEN,FW,21,32,23,"2,004",22.3,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,Manchester Utd
Manuel Ugarte,uy URU,MF,23,29,22,"1,785",19.8,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,Manchester Utd
Amad Diallo,ci CIV,"MF,FW",22,26,20,"1,901",21.1,8.0,6.0,14.0,8.0,0.0,0.0,5.0,0.0,Manchester Utd
Lisandro Martínez,ar ARG,DF,26,20,20,"1,751",19.5,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,Manchester Utd
Harry Maguire,eng ENG,DF,31,27,19,"1,758",19.5,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,Manchester Utd
Kobbie Mainoo,eng ENG,MF,19,25,19,"1,651",18.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Manchester Utd
Casemiro,br BRA,MF,32,24,18,"1,494",16.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,Manchester Utd
Joshua Zirkzee,nl NED,"FW,MF",23,32,14,"1,402",15.6,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,Manchester Utd
Leny Yoro,fr FRA,DF,18,21,12,"1,165",12.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Manchester Utd
Marcus Rashford,eng ENG,"FW,MF",26,15,12,978,10.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,Manchester Utd
Christian Eriksen,dk DEN,MF,32,23,11,"1,061",11.8,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,Manchester Utd
Patrick Dorgu,dk DEN,DF,19,12,10,842,9.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,Manchester Utd
Mason Mount,eng ENG,MF,25,17,8,622,6.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,Manchester Utd
Victor Lindelöf,se SWE,DF,30,16,6,704,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester Utd
Altay Bayındır,tr TUR,GK,26,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Luke Shaw,eng ENG,DF,29,7,4,349,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester Utd
Harry Amass,eng ENG,DF,17,5,4,346,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Jonny Evans,nir NIR,DF,36,7,3,315,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester Utd
Ayden Heaven,eng ENG,DF,17,4,2,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester Utd
Tyler Fredricson,eng ENG,DF,19,2,2,165,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Tyrell Malacia,nl NED,DF,24,3,2,100,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester Utd
Chidozie Obi-Martin,dk DEN,FW,16,7,1,165,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Manchester Utd
Toby Collyer,eng ENG,MF,20,6,0,179,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Antony,br BRA,"DF,MF",24,8,0,141,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Scott McTominay,sct SCO,MF,27,2,0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Jayce Fitzgerald,eng ENG,MF,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Jack Fletcher,eng ENG,MF,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Hubert Graczyk,pl POL,GK,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Elyh Harrison,eng ENG,GK,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Tom Heaton,eng ENG,GK,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Sekou Koné,ml MLI,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Godwill Kukonki,eng ENG,DF,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Dermot Mee,nir NIR,GK,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Jack Moorhouse,eng ENG,MF,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
Ethan Wheatley,eng ENG,FW,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester Utd
