,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Squad
39,Morgan Rogers,ENG,"FW,MF",22.0,37,37,3114,34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0,Aston Villa
40,Youri Tielemans,BEL,MF,27.0,36,35,3026,33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0,Aston Villa
41,Ezri Konsa,ENG,DF,26.0,34,33,2936,32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Aston Villa
42,Ollie Watkins,ENG,FW,28.0,38,31,2598,28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0,Aston Villa
43,Lucas Digne,FRA,DF,31.0,32,28,2351,26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Aston Villa
44,John McGinn,SCO,"MF,FW",29.0,34,27,2223,24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,Aston Villa
45,Matty Cash,POL,DF,26.0,27,24,2070,23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,Aston Villa
46,Pau Torres,ESP,DF,27.0,24,23,2020,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
47,Boubacar Kamara,FRA,MF,24.0,26,20,1726,19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,Aston Villa
48,Amadou Onana,BEL,MF,22.0,26,20,1617,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,Aston Villa
49,Jacob Ramsey,ENG,"FW,MF",23.0,29,19,1623,18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,Aston Villa
50,Leon Bailey,JAM,"FW,MF",26.0,24,14,1139,12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,Aston Villa
51,Tyrone Mings,ENG,DF,31.0,14,12,1120,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
52,Ian Maatsen,NED,DF,22.0,29,10,1139,12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,Aston Villa
53,Marco Asensio,ESP,MF,28.0,13,9,743,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0,Aston Villa
54,Diego Carlos,BRA,DF,31.0,10,8,830,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
55,Axel Disasi,FRA,DF,26.0,7,5,490,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
56,Lamare Bogarde,NED,"DF,MF",20.0,8,5,476,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa
57,Andrés García,ESP,"DF,MF",21.0,7,5,318,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
58,Jáder Durán,COL,FW,20.0,20,4,638,7.1,7.0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,Aston Villa
59,Marcus Rashford,ENG,FW,26.0,10,4,444,4.9,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,Aston Villa
60,Ross Barkley,ENG,MF,30.0,20,3,581,6.5,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,Aston Villa
61,Jaden Philogene Bidace,ENG,"FW,MF",22.0,11,2,332,3.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Aston Villa
62,Donyell Malen,NED,FW,25.0,14,2,305,3.4,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,Aston Villa
63,Robin Olsen,SWE,GK,34.0,4,1,226,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
64,Kosta Nedeljković,SRB,DF,18.0,5,0,126,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
65,Emi Buendía,ARG,"MF,FW",27.0,12,0,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa
66,Benjamin Broggio,ENG,FW,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
67,Joe Gauci,AUS,GK,24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
68,Jamaldeen Jimoh,ENG,MF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
69,Sil Swinkels,NED,DF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
70,Kadan Young,ENG,MF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
71,Oliwier Zych,POL,GK,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
72,Milos Kerkez,HUN,DF,20.0,38,38,3336,37.1,2.0,5.0,7.0,2.0,0.0,0.0,4.0,0.0,Bournemouth
73,Antoine Semenyo,GHA,FW,24.0,37,36,3203,35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0,Bournemouth
74,Illia Zabarnyi,UKR,DF,21.0,36,35,3109,34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,Bournemouth
75,Lewis Cook,ENG,"MF,DF",27.0,36,32,2978,33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0,Bournemouth
76,Kepa Arrizabalaga,ESP,GK,29.0,31,31,2790,31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bournemouth
77,Justin Kluivert,NED,MF,25.0,34,29,2340,26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0,Bournemouth
78,Evanilson,BRA,FW,24.0,31,28,2319,25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0,Bournemouth
79,Ryan Christie,SCO,MF,29.0,29,27,2117,23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0,Bournemouth
80,Dean Huijsen,ESP,DF,19.0,32,26,2427,27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0,Bournemouth
81,Dango Ouattara,BFA,FW,22.0,32,21,2005,22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0,Bournemouth
82,Tyler Adams,USA,MF,25.0,28,21,1965,21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,Bournemouth
83,Marcus Tavernier,ENG,"FW,MF",25.0,29,20,1939,21.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0,Bournemouth
84,Adam Smith,ENG,DF,33.0,25,19,1590,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Bournemouth
85,Marcos Senesi,ARG,DF,27.0,17,13,1106,12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Bournemouth
86,David Brooks,WAL,"FW,MF",27.0,29,9,960,10.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,Bournemouth
87,Alex Scott,ENG,MF,20.0,20,8,755,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Bournemouth
88,Julian Araujo,MEX,DF,22.0,12,7,497,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Bournemouth
89,James Hill,ENG,DF,22.0,10,6,448,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Bournemouth
90,Mark Travers,IRL,GK,25.0,5,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
91,Enes Ünal,TUR,"FW,MF",27.0,17,2,345,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,Bournemouth
92,Neto,BRA,GK,35.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
93,Luis Sinisterra,COL,"FW,MF",25.0,12,1,236,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Bournemouth
94,Philip Billing,DEN,MF,28.0,10,1,184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Bournemouth
95,Max Aarons,ENG,DF,24.0,3,1,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
96,Daniel Jebbison,CAN,FW,20.0,16,0,119,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Bournemouth
97,Ben Winterburn,ENG,"MF,FW",19.0,4,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
98,Julio Soler,ARG,"DF,FW",19.0,3,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
99,Remy Rees-Dottin,ENG,FW,18.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
100,Zain Silcott-Duberry,MSR,FW,19.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
101,Daniel Adu-Adjei,ENG,FW,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
102,Matai Akinmboni,USA,DF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
103,Jaidon Anthony,ENG,"FW,MF",24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
104,Will Dennis,ENG,GK,24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
105,Archie Harris,WAL,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
106,Hamed Junior Traorè,CIV,"FW,MF",24.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
107,Callan Mckenna,SCO,GK,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
108,Dominic Sadi,ENG,MF,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
109,Maxwell Wellings,ENG,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
110,Nathan Collins,IRL,DF,23.0,38,38,3420,38.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,Brentford
111,Bryan Mbeumo,CMR,FW,24.0,38,38,3414,37.9,20.0,7.0,27.0,15.0,5.0,6.0,3.0,0.0,Brentford
112,Mark Flekken,NED,GK,31.0,37,37,3275,36.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,Brentford
113,Keane Lewis-Potter,ENG,"DF,FW",23.0,38,36,3093,34.4,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,Brentford
114,Yoane Wissa,COD,FW,27.0,35,34,2919,32.4,19.0,4.0,23.0,19.0,0.0,0.0,5.0,0.0,Brentford
115,Mikkel Damsgaard,DEN,"MF,FW",24.0,38,34,2911,32.3,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,Brentford
116,Christian Nørgaard,DEN,MF,30.0,34,34,2819,31.3,5.0,4.0,9.0,5.0,0.0,0.0,8.0,1.0,Brentford
117,Sepp van den Berg,NED,DF,22.0,31,29,2586,28.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Brentford
118,Vitaly Janelt,GER,MF,26.0,32,27,2254,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,Brentford
119,Kevin Schade,GER,FW,22.0,38,26,2293,25.5,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,Brentford
120,Ethan Pinnock,JAM,DF,31.0,22,21,1913,21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,Brentford
121,Kristoffer Ajer,NOR,DF,26.0,24,17,1438,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brentford
122,Yehor Yarmoliuk,UKR,MF,20.0,31,15,1450,16.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Brentford
123,Mads Roerslev,DEN,DF,25.0,19,11,1101,12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Brentford
124,Mathias Jensen,DEN,MF,28.0,24,8,862,9.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Brentford
125,Michael Kayode,ITA,DF,20.0,12,6,528,5.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Brentford
126,Fabio Carvalho,POR,"FW,MF",21.0,19,3,455,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,Brentford
127,Ben Mee,ENG,DF,34.0,7,2,183,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Brentford
128,Thiago,BRA,"FW,MF",23.0,8,1,175,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
129,Hákon Valdimarsson,ISL,GK,22.0,2,1,145,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
130,Edmond-Paris Maghoma,ENG,"MF,FW",23.0,8,0,119,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
131,Rico Henry,ENG,DF,27.0,5,0,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
132,Yunus Emre Konak,TUR,"FW,MF",18.0,10,0,42,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
133,Kim Jisoo,KOR,DF,19.0,3,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
134,Frank Onyeka,NGA,MF,26.0,2,0,25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
135,Gustavo Nunes,BRA,"FW,MF",18.0,3,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
136,Jayden Meghoma,ENG,DF,18.0,1,0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
137,Ryan Trevitt,ENG,MF,21.0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
138,Benjamin Arthur,ENG,DF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
139,Julian Eyestone,USA,GK,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
140,Benjamin Fredrick,NGA,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
141,Aaron Hickey,SCO,"DF,MF",22.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
142,Iwan Morgan,WAL,FW,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
143,Myles Peart-Harris,ENG,MF,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
144,Tony Yogane,ENG,MF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
145,Bart Verbruggen,NED,GK,21.0,36,36,3240,36.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Brighton
146,Jan Paul van Hecke,NED,DF,24.0,34,33,2958,32.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,Brighton
147,Carlos Baleba,CMR,MF,20.0,34,31,2661,29.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,Brighton
148,Kaoru Mitoma,JPN,"FW,MF",27.0,36,28,2603,28.9,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,Brighton
149,Pervis Estupiñán,ECU,DF,26.0,30,26,2402,26.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,Brighton
150,Danny Welbeck,ENG,FW,33.0,30,24,2115,23.5,10.0,4.0,14.0,9.0,1.0,1.0,5.0,0.0,Brighton
151,Lewis Dunk,ENG,DF,32.0,25,23,2083,23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brighton
152,João Pedro,BRA,"FW,MF",22.0,27,23,1948,21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,Brighton
153,Yasin Ayari,SWE,MF,20.0,34,22,1965,21.8,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,Brighton
154,Jack Hinshelwood,ENG,"MF,DF",19.0,26,22,1842,20.5,5.0,2.0,7.0,5.0,0.0,0.0,5.0,0.0,Brighton
155,Yankuba Minteh,GAM,"FW,MF",20.0,32,20,1838,20.4,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,Brighton
156,Joël Veltman,NED,DF,32.0,21,19,1697,18.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Brighton
157,Georginio Rutter,FRA,"MF,FW",22.0,28,19,1656,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,Brighton
158,Simon Adingra,CIV,"FW,MF",22.0,29,12,1097,12.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,Brighton
159,Matt O'Riley,DEN,MF,23.0,21,11,938,10.4,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,Brighton
160,Adam Webster,ENG,DF,29.0,14,11,887,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brighton
161,Mats Wieffer,NED,"DF,MF",24.0,25,10,1015,11.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,Brighton
162,Igor,BRA,DF,26.0,13,10,961,10.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Brighton
163,Tariq Lamptey,GHA,DF,23.0,15,10,860,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,Brighton
164,Brajan Gruda,GER,"MF,FW",20.0,21,8,687,7.6,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,Brighton
165,Ferdi Kadioglu,TUR,"DF,MF",24.0,6,5,385,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Brighton
166,Diego Gómez,PAR,MF,21.0,16,4,516,5.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Brighton
167,James Milner,ENG,MF,38.0,4,3,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brighton
168,Julio Enciso,PAR,"MF,FW",20.0,12,2,294,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
169,Evan Ferguson,IRL,FW,19.0,13,2,246,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Brighton
170,Jason Steele,ENG,GK,33.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
171,Solly March,ENG,"FW,MF",30.0,8,1,168,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Brighton
172,Billy Gilmour,SCO,MF,23.0,2,1,98,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
173,Eiran Cashin,IRL,DF,22.0,2,0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
174,Jakub Moder,POL,MF,25.0,4,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
175,Jeremy Sarmiento,ECU,MF,22.0,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
176,Harry Howell,ENG,FW,15.0,1,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
177,Valentín Barco,ARG,"DF,MF",20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
178,Killian Cahill,IRL,GK,20.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
179,Joe Knight,ENG,MF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
180,Ruairi Mcconville,NIR,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
181,Mark O'Mahony,IRL,FW,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
182,Carl Rushworth,ENG,GK,23.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
183,Imari Samuels,ENG,DF,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
184,Freddie Simmonds,ENG,DF,16.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
185,Jacob Slater,IRL,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
186,Charlie Tasker,ENG,DF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton
187,Moisés Caicedo,ECU,"MF,DF",22.0,38,38,3351,37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0,Chelsea
188,Cole Palmer,ENG,"MF,FW",22.0,37,36,3191,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0,Chelsea
189,Levi Colwill,ENG,DF,21.0,35,35,3149,35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,Chelsea
190,Marc Cucurella,ESP,DF,26.0,36,33,2988,33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0,Chelsea
191,Enzo Fernández,ARG,MF,23.0,36,32,2947,32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,Chelsea
192,Robert Sánchez,ESP,GK,26.0,32,32,2880,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Chelsea
193,Nicolas Jackson,SEN,FW,23.0,30,28,2220,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,Chelsea
194,Noni Madueke,ENG,FW,22.0,32,27,2033,22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,Chelsea
195,Pedro Neto,POR,FW,24.0,35,24,2269,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0,Chelsea
196,Malo Gusto,FRA,DF,21.0,32,19,1862,20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Chelsea
197,Jadon Sancho,ENG,FW,24.0,31,19,1764,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,Chelsea
198,Tosin Adarabioyo,ENG,DF,26.0,22,15,1409,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,Chelsea
199,Wesley Fofana,FRA,DF,23.0,14,14,1172,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Chelsea
200,Reece James,ENG,"DF,MF",24.0,19,12,1063,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Chelsea
201,Trevoh Chalobah,ENG,DF,25.0,13,11,910,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Chelsea
202,Roméo Lavia,BEL,MF,20.0,16,11,797,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Chelsea
203,Christopher Nkunku,FRA,FW,26.0,27,9,921,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,Chelsea
204,Filip Jørgensen,DEN,GK,22.0,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
205,Axel Disasi,FRA,DF,26.0,6,4,364,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Chelsea
206,João Félix,POR,"FW,MF",24.0,12,3,369,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Chelsea
207,Benoît Badiashile,FRA,DF,23.0,5,3,334,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
208,Kiernan Dewsbury-Hall,ENG,"MF,FW",25.0,13,2,264,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Chelsea
209,Joshua Acheampong,ENG,DF,18.0,4,2,170,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Chelsea
210,Tyrique George,ENG,FW,18.0,8,1,183,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Chelsea
211,Renato Veiga,POR,"DF,MF",21.0,7,1,181,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Chelsea
212,Mykhailo Mudryk,UKR,FW,23.0,7,1,151,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
213,Marc Guiu,ESP,FW,18.0,3,0,73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
214,Mathis Amougou,FRA,MF,18.0,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
215,Shumaira Mheuka,ENG,MF,16.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
216,Aaron Anselmino,ARG,DF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
217,Genesis Antwi,SWE,MF,17.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
218,Marcus Bettinelli,ENG,GK,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
219,Cesare Casadei,ITA,MF,21.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
220,Samuel Rak-Sakyi,ENG,MF,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
221,Ishé Samuels-Smith,ENG,DF,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
222,Dean Henderson,ENG,GK,27.0,38,38,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Crystal Palace
223,Daniel Muñoz,COL,DF,28.0,37,37,3228,35.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,Crystal Palace
224,Tyrick Mitchell,ENG,DF,24.0,37,37,3092,34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,Crystal Palace
225,Maxence Lacroix,FRA,DF,24.0,35,35,3116,34.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,Crystal Palace
226,Marc Guéhi,ENG,DF,24.0,34,34,3059,34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,Crystal Palace
227,Jean-Philippe Mateta,FRA,FW,27.0,37,33,2648,29.4,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,Crystal Palace
228,Eberechi Eze,ENG,"MF,FW",26.0,34,31,2588,28.8,8.0,8.0,16.0,7.0,1.0,2.0,1.0,0.0,Crystal Palace
229,Ismaila Sarr,SEN,MF,26.0,38,30,2711,30.1,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,Crystal Palace
230,Jefferson Lerma,COL,"MF,DF",29.0,33,26,2274,25.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,Crystal Palace
231,Will Hughes,ENG,MF,29.0,33,24,2108,23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,Crystal Palace
232,Chris Richards,USA,DF,24.0,24,22,1922,21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,Crystal Palace
233,Adam Wharton,ENG,MF,20.0,20,16,1318,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Crystal Palace
